LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc;sfc;sfc;10 m above gnd;10 m above gnd;2 m above gnd;2 m above gnd;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation;Snowfall amount;Total cloud cover;Wind speed;Wind direction;Temperature;Temperature;Total cloud cover;Total cloud cover;Wind speed;Wind speed
UNIT;;;;;°C;mm;cm;%;km/h;°;°C;°C;%;%;km/h;km/h
AGGREGATION;;;;;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Total Precipitation daily sum [sfc];Snowfall amount daily sum [sfc];Total cloud cover daily mean [sfc];Wind speed daily mean [10 m above gnd];Wind direction daily mean [10 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Total cloud cover daily max [sfc];Total cloud cover daily min [sfc];Wind speed daily max [10 m above gnd];Wind speed daily min [10 m above gnd]
2007;10;29;00;00;11.02;0.00;0.00;70.16;5.91;227.86;17.02;6.31;100.00;3.00;13.04;2.89
2007;10;30;00;00;8.12;4.10;0.00;88.46;7.06;280.95;10.59;5.35;100.00;35.00;12.37;4.04
2007;10;31;00;00;7.98;0.00;0.00;75.54;10.96;37.08;12.95;3.57;100.00;0.00;18.87;7.02
2007;11;01;00;00;7.32;0.00;0.00;40.54;7.03;40.41;14.68;2.01;100.00;0.00;11.63;4.52
2007;11;02;00;00;8.77;0.00;0.00;32.75;5.05;54.56;15.34;3.81;100.00;0.00;9.40;2.35
2007;11;03;00;00;10.29;0.00;0.00;47.23;5.04;30.79;15.90;5.67;100.00;0.00;8.90;1.81
2007;11;04;00;00;10.83;0.30;0.00;88.62;8.53;28.46;12.49;8.98;100.00;25.00;12.80;5.58
2007;11;05;00;00;8.27;0.00;0.00;64.13;5.86;122.45;12.20;6.00;100.00;0.00;9.53;3.64
2007;11;06;00;00;7.27;4.40;0.00;100.00;10.49;265.05;8.38;6.40;100.00;100.00;14.41;5.23
2007;11;07;00;00;7.64;0.50;0.00;99.88;14.14;260.90;9.76;5.99;100.00;97.00;25.47;5.39
2007;11;08;00;00;7.91;3.10;0.00;100.00;11.92;245.76;9.70;6.77;100.00;100.00;20.33;7.48
2007;11;09;00;00;5.76;7.50;0.00;93.29;31.38;269.57;7.49;4.01;100.00;21.00;38.56;21.76
2007;11;10;00;00;3.89;12.00;0.00;99.50;27.87;255.51;5.80;2.35;100.00;88.00;34.10;13.87
2007;11;11;00;00;6.92;13.50;0.00;100.00;31.92;254.13;8.21;5.13;100.00;100.00;54.34;13.44
2007;11;12;00;00;5.92;2.30;0.00;77.38;15.48;284.03;7.69;4.09;100.00;10.00;21.15;11.07
2007;11;13;00;00;5.06;4.60;0.00;100.00;16.27;256.80;7.83;2.94;100.00;100.00;30.20;8.36
2007;11;14;00;00;3.28;10.10;0.00;95.08;14.21;295.25;5.77;2.01;100.00;43.00;26.10;10.14
2007;11;15;00;00;1.53;2.20;0.00;97.88;15.19;172.69;3.26;0.16;100.00;82.00;26.04;8.53
2007;11;16;00;00;1.05;0.00;0.00;98.08;14.13;56.59;3.87;-1.58;100.00;73.00;23.71;8.14
2007;11;17;00;00;0.70;0.00;0.00;67.12;7.54;58.38;5.43;-3.22;100.00;3.00;16.87;4.21
2007;11;18;00;00;0.74;0.00;0.00;60.92;6.08;99.08;3.73;-2.37;100.00;0.00;8.34;4.45
2007;11;19;00;00;3.06;0.00;0.00;74.88;6.14;124.36;10.40;-2.58;100.00;24.00;8.21;1.50
2007;11;20;00;00;5.57;0.00;0.00;60.89;7.53;109.96;11.85;0.63;100.00;23.40;10.72;5.58
2007;11;21;00;00;7.08;0.90;0.00;92.58;5.09;128.38;10.89;2.71;100.00;34.00;7.80;2.94
